Herbert A. E. Böhme
Peter Bosse
Fritz Böttger
Otto Braml
Joachim Brennecke
Siegfried Breuer
Hermann Brix
Robert Bürkner
Rudolf Carl
Horst Caspar
Paul Dahlke
Theodor Danegger
Ernst Dernburg
Friedrich Domin
Frits van Dongen
Robert Dorsay
Peter Elsholtz
Alexander Engel
Andrews Engelmann
Heinz Engelmann
Hermann Erhardt
Arthur Fritz Eugens
Rudolf Eweler
Richard Eybner
Rudolf Fernau
Adolf Fischer
O. W. Fischer
Hans Fitz
Robert Forsch
Robert Freitag
Erik Frey
Julius Frey
Ernst Fritz Fürbringer
Werner Fuetterer
Beniamino Gigli
Rudi Godden
Alexander Golling
Adolf Gondrell
Joachim Gottschalk
Hugo Gottschlich
Lutz Götz
Otto Graf
Aribert Grimmer
Hansjakob Gröblinghoff
Carl Günther
Jens von Hagen
Tibor von Halmay
Hans Hanauer
Karl Hannemann
Knut Hartwig
Clemens Hasse
Karl Haubenreißer
Max Haufler
Ullrich Haupt
Heinrich Hauser
Richard Häussler
Johannes Heesters
Albert Hehn
Hellmuth Helsig
Hans Hemes
Emil Hess
Werner Hinz
Paul Hoffmann
Harald Holberg
Willem Holsboer
Hans Holt
Friedrich Honna
Fritz Hoopts
Bruno Hübner
Paul Hubschmid
Malte Jaeger
Albert Janscheck
Karl John
Curd Jürgens
Wolf Kaiser
Josef Kamper
Christian Kayßler
Hannes Keppler
Leopold Kerscher
Wolfgang Kieling
Ernst von Klipstein
Rudolf Klix
Gustav Knuth
Eduard Köck
Erwin Kohlund
Nikolai Kolin
Wilhelm H. König
Hardy Krüger
Carl Kuhlmann
Ingolf Kuntze
Walter Ladengast
Fritz Lafontaine
Michl Lang
Waldemar Leitgeb
Walter Lieck
Ludwig Linkmann
Albert Lippert
Ralph Lothar
Richard Ludwig
Wolfgang Lukschy
Alfred Maack
Ferdinand Maierhofer
Ferdinand Marian
Eduard Marks
Karl Martell
Albert Matterstock
Paul Mederow
Kurt Meister
Hans Meyer-Hanno
Kurt Mikulski
Gunnar Möller
Walter Müller
Armin Münch
Alfred Neugebauer
Hans Nielsen
Jaspar von Oertzen
Hans Olden
Justus Paris
Reginald Pasch
John Pauls-Harding
Friedrich Petermann
Karl-Heinz Peters
Leo Peukert
Werner Pledath
Rudolf Prack
Hermann Pfeiffer
Will Quadflieg
Hans Quest
Carl Raddatz
Erik Radolf
Sepp Rist
Norbert Rohringer
Willi Rose
Willy Rösner
Ernst Sattler
Ernst Albert Schaah
Raimund Schelcher
Just Scheu
Alfred Schieske
Ernst G. Schiffner
Ludwig Schmid-Wildy
Ludwig Schmitz
Hans Schneider
Karl Schönböck
Dietmar Schönherr
Werner Schott
Walter Schramm-Duncker
Arnulf Schröder
Arthur Schröder
Ernst Schröder
Willy Schultes
Hans Schwarz jr
Paul Schwed
Armin Schweizer
Wilfried Seyferth
Klaus Detlef Sierck
Karl Skraup
Viktor Staal
Walter Steinweg
Hannes Stelzer
Hans Sternberg
Ernst Stimmel
Friedrich Ulmer
Georg Thomalla
Otz Tollen
Otto Tressler
Heinrich Troxbömker
Wolf Trutz
Ivo Veit
Albert Venohr
